time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0095985816481018,2.6462543721515e-05,5.7683768184617e-18,0.0016567491847123,2.616144375677e-10,0.00042104664428549,-0.00042104664414466,1.5878899932445e-07,-0.001331536545636,0.047737481857324,9.6188926526222e-09,0.0014211312703117,-0.0014211312698363,0.044065353026481,1.0227466877155e-08
20,0.010168802459905,1.8174704112446e-05,2.9973991865992e-15,0.001606457995722,9.4631246817237e-09,0.00069129954687736,-0.00069129954148025,3.2839115510058e-06,-0.0016308455180814,0.039574634863916,-0.004941790864725,0.002331982554194,-0.0023319825359974,0.036530094684192,-0.015129639572098
30,0.010900770070646,1.621202975609e-05,3.4060786859975e-13,0.0019005619158234,1.5690509660681e-07,0.00076626135921201,-0.00076626134394691,3.1858450978692e-05,-0.0016020800647803,0.037366677554812,3.2802257378838e-06,0.0025845864900698,-0.002584586438643,0.034489061687473,-0.0075474252948089
40,0.011715776756693,1.5195280166212e-05,1.4898858046916e-11,0.0018804872260987,1.2669712161808e-06,0.00078055460194725,-0.00078055468391312,0.00019057462796939,-0.0015724708778999,0.036176541130711,2.610130950493e-05,0.0026324893901703,-0.0026324896671795,0.03337667028065,-0.0065053312875003
50,0.012595366960897,5.2036150898065e-05,3.1429244697106e-10,0.0018491424100149,7.2081614625633e-06,0.00076845603852568,-0.00076845730647975,0.00079745176971332,-0.0016330362621399,0.035138114034788,0.00013822463737963,0.0025910187884665,-0.0025910230710745,0.032378226465343,-0.0060711806575752
60,0.013483737198623,0.00051396163311758,3.6048814875611e-09,0.0023007761415958,2.2492357856017e-05,0.0007618512955941,-0.0012075115270708,0.00258182832052,-0.0016911007439888,0.033596988506631,0.00044883547079912,0.0025652152955112,-0.0025652519577665,0.030888919324122,-0.0042976153974663
70,0.01438378447503,0.0035608472416772,2.4266416507448e-08,0.0061303281053254,-0.00020780199895158,0.0017339745093145,-0.0034086142581983,0.0067560954035371,-0.0017064535853419,0.030549514266304,0.0010999711632776,0.0026756898864184,-0.0027200804465049,0.027754598310283,-0.0033543054258586
80,0.015370178410498,0.016780121495138,1.0187600731252e-07,0.013332745115796,-0.0010189806617194,0.0033344869819948,-0.0079365993181332,0.014740931085788,-0.0017152433921197,0.031914107155434,0.001444109637113,0.0035656623981838,-0.0050953904252348,0.027832663513288,-0.002351054975145
90,0.016390553801721,0.044140698551749,2.8474105659634e-07,0.021190204437488,-0.0022502704359948,0.0045237150411629,-0.014495059531887,0.024441625250384,-0.0029895667910324,0.035161233826566,-0.00064201849163018,0.0058952731145626,-0.0083674099129775,0.028853838115519,-0.0020428116511547
100,0.017290451586086,0.06235661287579,4.8660543119456e-07,0.023607446901866,-0.0031550621645981,0.0043556010296113,-0.020704656321397,0.039204819333073,-0.0043160580627886,0.027506385513714,-0.0015874505706432,0.0080628612932407,-0.010886673312773,0.023665811472024,-0.004691156115706
