time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00025032528892875,2.6401760220319e-05,0,0.019062814755239,-0.00071119118660642,0.0078144781144406,-0.0078144781735651,0.00044083743561659,-0.01695498310943,0.0048139215805403,-0.0002921369583852,0.00026398151571635,-0.00026398151771362,0.0044507581118804,-0.00026932065334725
200,0.00038191516530403,2.6092187707708e-05,0,0.023237257023437,-0.00076159758158652,0.010452364797547,-0.010452364972423,0.00023909173546323,-0.021081013322684,0.0047830198370926,-0.00032879819173899,0.00035306607327434,-0.00035306607918137,0.0044306152294367,-0.00030378272218399
300,0.00051505485131888,2.6054646962112e-05,0,0.025150784992192,-0.0007749632953508,0.011898098879293,-0.011898098712893,0.00021418811542196,-0.022839937293782,0.0047774451908204,-0.00033697386319464,0.00040187286877461,-0.00040187286315362,0.0044238465309961,-0.0003111617899693
400,0.00065357758623575,2.5990824569427e-05,0,0.026276281759003,-0.00075381672386921,0.01282981735039,-0.012829817553942,0.00019258689300854,-0.023923810445528,0.0047694886555822,-0.00032931810582991,0.00043331423628599,-0.000433314243163,0.0044150949214556,-0.00030401853265542
500,0.0007972029725748,2.5915772456076e-05,0,0.027027726861088,-0.0007106010663351,0.013437885597066,-0.013437885422368,0.00017071218315231,-0.02466057505372,0.0047605386317977,-0.00031129259917736,0.00045382236613356,-0.00045382236023196,0.0044054098600217,-0.00028736215769357
600,0.00094479817313517,2.583420545661e-05,0,0.027567447347545,-0.00065304455000827,0.013860095844182,-0.013860095619755,0.00014817284306427,-0.025179818933302,0.0047510271048859,-0.00028662009578222,0.00046812264229864,-0.00046812263471878,0.004395164750512,-0.0002645419456634
700,0.0010948028403712,2.5750009253033e-05,0,0.027973323156936,-0.00058630415127339,0.014238573108087,-0.014238573000629,0.00012554481432844,-0.025572566129201,0.0047413091737844,-0.00025767758639533,0.00048081752607919,-0.0004808175224495,0.0043847246983394,-0.00023788494218212
800,0.0012454360480138,2.566710521673e-05,0,0.028288205078699,-0.00060626300486118,0.0147209739866,-0.014720973897184,0.00010359158130827,-0.02590966627426,0.0047317445286687,-0.00026612925441564,0.00049707835738318,-0.00049707835436413,0.0043744711196084,-0.00024564561542382
900,0.0013948036119572,2.5655488458801e-05,0,0.028538310545403,-0.00063624758524352,0.015044761940365,-0.015044761774242,0.00010090694403243,-0.026248844479432,0.0047293565057076,-0.00027942225511773,0.00050798196300848,-0.00050798195739923,0.0043720791244335,-0.0002579473298115
1000,0.0015409550903915,2.5947971014811e-05,0,0.028820800698664,-0.00087969980795972,0.015273189932904,-0.015273189879512,0.00016414001413497,-0.026522095272688,0.0047537323517041,-0.00038623797623421,0.00051563835824422,-0.00051563835644187,0.0043986792696443,-0.00035660319998589
1100,0.0016847590557733,0.00024986283608861,7.7783363268286e-08,0.029061698420253,0.00080655154025555,0.015529414854904,-0.015529414877503,0.0077140924068207,-0.026745867383014,0.0074883822736667,0.00015797515929773,0.00052426022583912,-0.00052426022660186,0.0069123829093414,-5.8360251660812e-05
1200,0.0018421121441048,0.00079281140060798,2.0983255997855e-07,0.042923005678117,0.0016584556276246,0.015620950640973,-0.015620950511134,0.017894762876023,-0.026931388384971,0.0094896024216719,0.00026691420651203,0.00052732169492616,-0.00052732169054328,0.0091782066832603,-6.4640907823738e-05
1300,0.0020084172545652,0.00077627977939878,3.9796545391322e-07,0.044065909720221,0.0022438291626274,0.015698561508378,-0.015698561450302,0.01611926729375,-0.02708650522119,0.009893577474302,0.00037829417246371,0.00052988657911197,-0.00052988657715157,0.0091960407048389,-6.9924127307576e-05
1400,0.0021754319460708,0.00073016253889699,6.3034118542619e-07,0.044059900516061,0.0028727374622813,0.015884404202652,-0.015884404195859,0.014262307040123,-0.027217218443625,0.0095935319413792,0.00045478110151668,0.00053617155230742,-0.00053617155207818,0.0088707165041971,-7.5361605603331e-05
1500,0.0023359224358191,0.00065570129789224,9.1386906343421e-07,0.043061003535962,0.0036078952680225,0.016062748022902,-0.016062747947327,0.012146126978331,-0.027327890794224,0.0085959453644891,0.00053777112265095,0.00054216311518744,-0.00054216311263662,0.008215477710348,-8.113905642005e-05
1600,0.0024829103895788,0.00025103066931256,1.2523253198026e-06,0.033134438185595,0.0044333437976032,0.016253532043321,-0.0162535319754,0.00060925887168652,-0.027421839070952,0.0059558331612394,0.00038044948444164,0.00054854867283484,-0.00054854867054354,0.0053273286933488,-0.00035161076534052
1700,0.0026132940947879,5.7383667814809e-05,1.6424872950107e-06,0.029880023705482,0.0053412019558597,0.016335382625932,-0.016335382498677,-0.002744457905375,-0.027472813903254,0.0053493223097603,8.9071093579407e-05,0.00055129063577927,-0.00055129063148491,0.0043549222028435,-0.00078333197333629
1800,0.0027282260680031,3.1475644740682e-05,2.0472998426849e-06,0.03150937754605,0.0063250268885936,0.016224119363748,-0.016224119313042,-0.0036287023549672,-0.028353497048228,0.0050171752070251,-0.00010533223573681,0.00054740079572886,-0.00054740079401829,0.0038413131617087,-0.0011116725097619
1900,0.0028308858833412,3.0129410038621e-05,2.0178111024429e-06,0.03422769575563,0.0074117789949291,0.014505421693019,-0.014505421632287,-0.0050934197859365,-0.030059074733137,0.0048044220270516,-0.00024419322581347,0.00048931937061947,-0.00048931936857205,0.0034700907113507,-0.0013703783515278
2000,0.0029257990376527,2.9645400160051e-05,2.7053766607695e-06,0.035521166871267,0.0085701835552106,0.013212421202247,-0.013212421184455,-0.0054448521149276,-0.03116698563439,0.0046538847325806,-0.00034362096619341,0.00044569611686222,-0.00044569611626183,0.0031704517320123,-0.0015684039344308
