time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.011896281288436,0.00014332720361463,1.0205097954694e-07,0.00056851730038047,-0.0022537199466023,0.0011108224024474,-0.0011108223926937,0.0024596625147981,0.000179785207632,0.046587092731408,-0.0023660502579029,0.0037227886071865,-0.0037227885737112,0.050401118972683,0.0022439242498662
200,0.027351185695442,2.6112070818044e-05,1.973251116376e-06,-0.0011151316409694,-0.0029392679672966,0.00064994873898727,-0.00064994872101145,0.0033393456584234,0.0010799700802683,0.020969806882337,-0.022541333177822,0.0021413169457078,-0.0021413168859093,0.037004592581978,-0.012300743059202
300,0.04915975266924,4.0302338970015e-05,9.2071812038804e-06,-0.0020945298153271,-0.003984094397257,0.00063921233665276,-0.00063921234099867,0.0040842820535683,0.002261616520735,0.0056418027632849,-0.037318027727936,0.0020680530927452,-0.0020680531016497,0.025165542925231,-0.015396430883735
400,0.093192118478505,7.6401724972915e-05,1.9937793685566e-05,-0.0026680207618044,-0.0040584077266516,0.00062758183486667,-0.00062758186274561,0.0051017072429813,0.0031181470897753,0.024163979534371,0.00011155601608333,0.00192127959952,-0.0019212796667029,0.049552294836294,0.019607112687785
500,0.17556197005012,0.00078861110594287,4.2205883295248e-05,-0.0023725786129686,-0.0048752860189,0.00082788001212566,-0.00082787998113835,0.0081308266545629,0.0038725835306065,0.024108568172315,0.00013344962107393,0.0022730862387281,-0.0022730861522768,0.0459535794571,0.025088934650822
600,0.26900044207887,0.00036343601035574,5.648880814383e-05,-0.0046324310804863,-0.0069224011318797,0.00055032991645106,-0.00055032991169483,0.0097430619921446,0.0052998956538124,-5.2702764206343e-05,-0.013541154271369,0.0014323409387708,-0.0014323409273554,0.031459768122135,0.015400632347122
700,0.37044614842601,0.0091584530809003,5.4676793311171e-05,-0.0055400229865921,-0.0096356372501273,0.0029784895132322,-0.0029784895120053,0.026790653701761,0.0056891587462711,-0.00016889280892976,-0.022796884158956,0.0049778362841812,-0.0049778362782609,0.0300316054823,0.0010753176589048
800,0.49403256010664,0.049558972193402,3.6285109709404e-05,-0.0046248235919,-0.0087924428702414,0.0042063810292788,-0.0042063810733384,0.053848581324267,0.0046226021376315,-0.00020326523452896,-0.023164006533208,0.0066962003149548,-0.006696200342036,0.026523436157224,2.785084963539e-05
900,0.66054970580362,0.17037786927121,2.5688674970917e-05,-0.0027917837922514,-0.0078523845002732,0.0072364401359472,-0.0072364401738202,0.093838249787002,0.0038693141692766,-0.00036344905190416,-0.020675814989449,0.0081112870298358,-0.0081112869956263,0.018323294588642,-0.00014669841602243
1000,0.83692054671137,0.49867213001844,1.7899920679998e-05,0.00046477551341911,-0.0063942263371379,0.014242882075405,-0.014242882160677,0.15658690943733,0.0032544195405991,0.00014585211133256,-0.020557620185482,0.0071948349936242,-0.0071948349359036,0.0091675939342234,-0.0031070977709122
1100,0.90969131034533,0.97828012892703,3.4227302262421e-07,0.0017122720584841,-0.0068307193401998,0.016448111869622,-0.016448111730069,0.21722788624115,-0.00047247997914719,8.3535096071672e-05,-0.022262122568399,0.0052249459240111,-0.0052249458751075,0.0036607676121845,-0.0032678260159287
1200,0.92285200880712,1.3001409654163,1.6457321371234e-06,0.013839260727035,-0.0054348507045093,0.020750995828834,-0.020750995902104,0.2482904854063,-0.00080606706205598,0.0026916712226167,-0.016448611584139,0.0021737459939451,-0.0021737460522807,0.0042490920439549,-0.0026220377782947
1300,0.92650167896131,2.1457031129892,3.280551881076e-07,0.023485024347243,-0.00052631022882766,0.029406934099433,-0.029406933947621,0.31200503673197,-0.0016689600693418,0.0059849612388846,-0.0026471080326103,0.0020871762590062,-0.0020871762423203,0.0045257232115819,-0.0056062815768861
1400,0.93247017370722,4.9157092064693,1.2084040806177e-06,0.038337051655908,-0.00062849898083776,0.040931904979634,-0.040931905025827,0.46945090402291,-0.0050967248072898,0.0068235365693419,-0.0034091681309516,0.0035702770054592,-0.0035702769027652,0.0015553441609957,-0.016072603616187
1500,0.94722710028342,2.0240461794896,2.5409766199539e-07,0.05872294848686,-0.0002735412420918,0.061496307773295,-0.061496303574592,0.29223108555727,-0.0048728474173041,0.010758246592264,-0.0069010158240166,0.0026285162999737,-0.0026285161468191,0.0024138608190331,-0.010215226020467
1600,0.96529244715882,2.853647760644,1.6725806348986e-07,0.071933177094279,-0.0019028428782039,0.081020192399014,-0.081020188849186,0.35896032626565,-0.0025124166327052,0.007701538855605,-0.010360797950435,0.0042305168736549,-0.0042305177629719,0.0034029880033779,-0.0063342060567767
